Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2009-10-16,9312.8,9555.9,9259.9,9526.7,35844273,2805.51,2.245268560991754
2009-10-17,9533.15,9575.85,9462.95,9513.4,4247665,357.52,-0.20760190888641283
2009-10-20,9548.05,9630.35,9429.8,9476.4,20636301,1558.78,-0.7560888100966574
2009-10-21,9395.0,9453.75,9259.7,9273.05,17408837,1440.25,-1.31510128814145
2009-10-22,9244.5,9250.0,9057.1,9090.1,20464999,1484.02,-1.6985511710542196
2009-10-23,9189.1,9261.6,9131.05,9188.4,18180673,1289.38,-0.007618301336475639
2009-10-26,9193.2,9225.2,9014.1,9033.85,31177931,1384.52,-1.7639212517365284
2009-10-27,8948.3,9100.35,8661.6,8698.8,44066828,3255.14,-2.8682117073619353
2009-10-28,8652.1,8680.9,8410.95,8609.1,38856664,2898.3,-0.49947148947044406
2009-10-29,8541.65,8552.75,8370.15,8417.85,41949236,2739.84,-1.4706843196303008
2009-10-30,8476.95,8728.05,8411.15,8438.6,41623320,2839.1,-0.4544592704951101
2009-11-03,8372.1,8506.8,8207.75,8255.45,29211433,2094.13,-1.4130059536427406
2009-11-04,8330.5,8521.1,8267.95,8506.75,24643556,1872.58,2.0718840920445527
2009-11-05,8521.55,8564.25,8319.5,8537.2,27097747,1846.32,0.1833153727217525
2009-11-06,8612.3,8780.0,8612.3,8723.75,24511786,1890.45,1.2775469264937753
2009-11-09,8750.7,9150.75,8750.7,9137.5,29042222,2291.28,4.23310533515731
2009-11-10,9182.0,9267.45,9124.0,9179.5,25203019,2295.76,-0.02723459883435917
2009-11-11,9147.65,9355.4,9095.65,9337.6,18668848,1535.14,2.0342486291980886
2009-11-12,9323.75,9332.65,9024.9,9084.8,25798096,1760.68,-2.6302175061641506
2009-11-13,9055.85,9215.75,9055.85,9155.65,22374762,1545.92,1.0900372993725107
2009-11-16,9201.85,9339.1,9201.85,9266.4,15942547,1289.94,0.6966027799361054
2009-11-17,9259.2,9315.2,9118.0,9299.6,14128516,1245.09,0.43442728719514423
2009-11-18,9236.4,9308.45,9206.05,9223.85,14994759,1222.32,-0.13606032188293687
2009-11-19,9210.2,9210.2,8992.5,9041.65,14183508,1177.23,-1.86415090166066
2009-11-20,8993.3,9241.3,8890.1,9219.05,21165750,1695.38,2.4487338717112936
2009-11-23,9256.75,9325.0,9223.15,9274.1,14214796,1281.73,0.18708014793888747
2009-11-24,9266.1,9295.9,9163.7,9247.65,17015428,1457.6,-0.19951014582083806
2009-11-25,9215.5,9340.75,9214.25,9303.15,16805045,1438.99,0.9421540016016041
2009-11-26,9291.55,9291.55,9045.35,9067.65,22092827,1727.41,-2.4692174929557233
2009-11-27,8994.2,8994.2,8591.75,8945.05,27587597,2071.09,-0.5494659057244113
2009-11-30,9121.7,9137.75,8989.0,9046.95,17954984,1635.95,-0.8262453091926008
2009-12-01,9056.05,9260.7,9056.05,9250.95,16249394,1327.54,2.106810651879012
2009-12-02,9293.9,9407.05,9293.9,9327.25,29960420,1840.03,0.3575544774719276
2009-12-03,9370.65,9435.9,9294.75,9345.25,24227797,1605.19,-0.27179583210721636
2009-12-04,9263.2,9338.7,9195.55,9245.05,16329753,1288.26,-0.19632127462805996
2009-12-07,9257.6,9309.75,9150.25,9175.6,14493212,1171.67,-0.8936745280962552
2009-12-08,9126.0,9301.1,9124.5,9290.1,22906017,1684.88,1.7663964865824948
2009-12-09,9224.3,9266.05,9119.5,9146.35,18654230,1310.15,-0.8522525378976193
2009-12-10,9140.35,9224.7,9078.9,9205.65,19043532,1392.48,0.7093469771281689
2009-12-11,9265.35,9293.05,9054.75,9097.2,18827542,1352.4,-1.8483709273182916
2009-12-14,9072.85,9131.55,8977.5,8996.75,19291882,1350.55,-0.8458610053630519
2009-12-15,8994.85,9027.4,8715.3,8734.45,22783874,1782.02,-2.9812981927883224
2009-12-16,8701.7,8748.0,8640.9,8667.4,24083117,1858.29,-0.3957357454369372
2009-12-17,8659.35,8757.5,8586.95,8697.2,20098961,1622.2,0.43519753483880286
2009-12-18,8644.25,8708.0,8577.7,8599.95,17705394,1266.17,-0.5151192739492587
2009-12-21,8601.0,8662.9,8560.15,8609.55,16689554,1172.99,0.09930832621913192
2009-12-22,8647.05,8737.15,8647.05,8712.5,13465097,898.16,0.7512195121951304
2009-12-23,8721.5,8927.25,8721.5,8919.05,16626291,1155.85,2.2149219928131276
2009-12-24,8957.4,9012.45,8895.6,8968.1,13412604,879.27,0.11931178287486455
2009-12-29,8990.35,9042.55,8965.7,8991.9,10293200,789.02,0.01723773618478044
2009-12-30,8989.0,9021.2,8937.3,8994.6,11325593,900.38,0.06225957796900767
2009-12-31,9014.75,9093.65,9002.45,9029.5,14818533,1287.04,0.1633534525721247
2010-01-04,9031.9,9129.45,9031.9,9112.35,9606489,703.98,0.8828677563965467
2010-01-05,9191.25,9214.0,9157.35,9192.15,16767524,1070.1,0.00979096294120131
2010-01-06,9243.9,9265.55,9183.65,9223.0,16215141,1179.88,-0.2266073945570816
2010-01-07,9240.25,9261.85,9153.25,9192.95,11676155,801.81,-0.5145247173105398
2010-01-08,9185.05,9214.35,9141.45,9160.7,12438359,1004.21,-0.26580938137913634
2010-01-11,9209.15,9248.0,9161.05,9173.55,12957323,1230.76,-0.38807222939865554
2010-01-12,9173.85,9173.85,8973.05,8985.1,26424773,1597.65,-2.100700047857008
2010-01-13,8912.6,8937.85,8836.7,8926.1,19855278,1602.27,0.15124186374788542
2010-01-14,8952.0,9040.0,8883.1,8910.8,16938680,1555.11,-0.46236028190511214
2010-01-15,8961.65,8982.55,8874.8,8911.1,19425549,1539.54,-0.567270034002528
2010-01-18,8887.15,9120.35,8863.2,9093.25,17752627,1630.32,2.2665163720342054
2010-01-19,9125.9,9202.5,9093.95,9135.9,14762784,1289.42,0.1094582909182456
2010-01-20,9177.75,9196.4,9104.1,9126.35,17648807,1435.25,-0.5632043478499031
2010-01-21,9093.0,9098.1,8889.05,8919.3,18140491,1516.36,-1.9474622447950036
2010-01-22,8891.8,8891.8,8659.9,8772.65,21046522,1691.22,-1.3581984919038106
